Species1,Species2,Species3,Time
897,617,140,1320
880,590,150,1321
890,575,136,1322
870,629,142,1323
929,617,146,1324
907,600,137,1325
918,610,120,1326
907,639,156,1327
889,669,133,1328
878,608,135,1329
893,641,147,1330
881,646,130,1331
874,703,126,1332
884,714,133,1333
911,623,143,1334
899,657,112,1335
897,681,130,1336
848,687,133,1337
872,681,119,1338
855,712,143,1339
926,664,134,1340
844,685,133,1341
850,713,137,1342
805,746,158,1343
852,723,128,1344
843,689,141,1345
873,698,114,1346
868,707,123,1347
819,755,122,1348
857,744,125,1349
849,723,132,1350
879,728,125,1351
864,746,132,1352
853,735,115,1353
848,734,123,1354
850,727,103,1355
815,763,120,1356
858,755,118,1357
791,774,126,1358
842,731,111,1359
762,795,118,1360
772,750,124,1361
812,759,116,1362
814,795,91,1363
819,811,94,1364
826,796,107,1365
815,757,97,1366
803,763,97,1367
771,832,82,1368
812,784,119,1369
811,814,102,1370
819,788,95,1371
786,816,118,1372
779,828,122,1373
752,809,130,1374
766,812,119,1375
794,828,114,1376
838,817,102,1377
800,864,79,1378
728,868,95,1379
776,843,104,1380
789,823,97,1381
783,812,102,1382
744,865,106,1383
742,842,100,1384
734,866,87,1385
773,855,77,1386
772,855,92,1387
775,910,95,1388
760,908,85,1389
790,853,107,1390
750,861,97,1391
703,892,95,1392
719,896,102,1393
769,894,101,1394
703,898,114,1395
744,898,110,1396
769,898,91,1397
738,910,99,1398
748,944,92,1399
775,910,78,1400
714,922,90,1401
754,919,72,1402
706,923,94,1403
717,954,60,1404
708,939,64,1405
685,975,55,1406
663,941,78,1407
713,950,68,1408
685,917,68,1409
688,952,65,1410
675,1006,59,1411
721,987,69,1412
677,940,71,1413
690,987,67,1414
690,981,68,1415
668,964,70,1416
721,963,57,1417
698,975,78,1418
703,982,82,1419
688,1056,60,1420
710,953,59,1421
647,1039,65,1422
694,984,58,1423
654,1023,47,1424
680,1033,55,1425
629,1038,61,1426
622,1025,47,1427
665,1014,67,1428
