Species1,Species2,Species3,Time
68,1676,41,1360
56,1702,31,1361
58,1641,35,1362
73,1700,35,1363
51,1650,47,1364
62,1665,33,1365
62,1714,45,1366
56,1659,47,1367
47,1737,34,1368
55,1709,49,1369
44,1727,37,1370
72,1682,32,1371
59,1725,45,1372
44,1720,43,1373
63,1706,35,1374
62,1719,34,1375
55,1710,36,1376
67,1751,32,1377
61,1711,41,1378
54,1706,37,1379
58,1743,46,1380
47,1722,36,1381
65,1639,45,1382
58,1660,45,1383
52,1707,46,1384
60,1682,42,1385
62,1649,45,1386
54,1706,47,1387
48,1697,30,1388
57,1671,45,1389
46,1726,41,1390
58,1689,42,1391
50,1727,47,1392
67,1688,41,1393
39,1701,44,1394
58,1710,35,1395
48,1730,28,1396
40,1716,33,1397
63,1724,41,1398
41,1746,36,1399
65,1725,36,1400
54,1743,29,1401
42,1742,37,1402
45,1746,36,1403
69,1721,27,1404
62,1711,44,1405
56,1741,38,1406
67,1717,40,1407
56,1704,39,1408
46,1761,35,1409
48,1775,35,1410
66,1751,33,1411
57,1725,42,1412
52,1727,44,1413
50,1769,42,1414
50,1769,36,1415
53,1716,44,1416
57,1716,40,1417
49,1757,37,1418
57,1726,38,1419
57,1744,49,1420
59,1744,36,1421
45,1731,55,1422
58,1764,32,1423
64,1730,44,1424
60,1729,39,1425
54,1754,36,1426
60,1716,38,1427
54,1705,31,1428
51,1777,36,1429
68,1694,39,1430
56,1736,31,1431
70,1699,31,1432
61,1712,41,1433
55,1752,24,1434
58,1728,40,1435
54,1726,43,1436
59,1721,44,1437
65,1674,32,1438
49,1733,42,1439
57,1749,37,1440
56,1757,40,1441
53,1730,35,1442
57,1708,43,1443
52,1679,24,1444
50,1745,38,1445
50,1759,36,1446
42,1719,27,1447
61,1711,43,1448
49,1749,35,1449
43,1768,31,1450
59,1733,41,1451
56,1734,30,1452
59,1715,44,1453
48,1800,34,1454
43,1730,39,1455
58,1754,28,1456
47,1701,40,1457
58,1746,21,1458
55,1726,38,1459
60,1743,33,1460
43,1730,37,1461
64,1756,38,1462
58,1740,41,1463
56,1757,32,1464
44,1759,34,1465
64,1756,25,1466
63,1784,34,1467
54,1723,37,1468
43,1708,34,1469
53,1716,36,1470
51,1726,35,1471
50,1709,33,1472
53,1742,36,1473
52,1714,36,1474
55,1732,36,1475
52,1741,20,1476
50,1753,27,1477
51,1763,29,1478
53,1753,29,1479
47,1693,28,1480
56,1775,31,1481
41,1737,26,1482
47,1725,27,1483
43,1740,30,1484
65,1718,28,1485
64,1727,26,1486
47,1740,33,1487
47,1750,31,1488
46,1721,23,1489
60,1730,22,1490
42,1759,35,1491
72,1729,30,1492
51,1747,27,1493
42,1740,27,1494
44,1714,34,1495
59,1703,30,1496
64,1723,35,1497
61,1696,28,1498
52,1719,38,1499
60,1749,28,1500
48,1759,19,1501
29,1766,22,1502
50,1771,32,1503
61,1754,32,1504
