Species1,Species2,Species3,Species1_b,Species2_b,Species3_b,Species1_Density,Species2_Density,Species3_Density,Time
257,1096,371,0,0,0,[],[],[],494
241,1146,355,0,0,0,[],[],[],495
256,1098,363,0,0,0,[],[],[],496
248,1124,362,0,0,0,[],[],[],497
253,1080,411,0,0,0,[],[],[],498
230,1121,347,0,0,0,[],[],[],499
238,1121,349,0,0,0,[],[],[],500
221,1134,365,0,0,0,[],[],[],501
248,1108,377,0,0,0,[],[],[],502
236,1101,385,0,0,0,[],[],[],503
236,1157,344,0,0,0,[],[],[],504
226,1082,397,0,0,0,[],[],[],505
220,1094,340,0,0,0,[],[],[],506
238,1136,357,0,0,0,[],[],[],507
264,1114,313,0,0,0,[],[],[],508
208,1164,365,0,0,0,[],[],[],509
264,1164,326,0,0,0,[],[],[],510
252,1111,390,0,0,0,[],[],[],511
255,1140,333,0,0,0,[],[],[],512
239,1154,329,0,0,0,[],[],[],513
231,1154,353,0,0,0,[],[],[],514
253,1129,350,0,0,0,[],[],[],515
217,1136,351,0,0,0,[],[],[],516
232,1144,365,0,0,0,[],[],[],517
216,1126,372,0,0,0,[],[],[],518
223,1144,319,0,0,0,[],[],[],519
228,1115,337,0,0,0,[],[],[],520
253,1125,299,0,0,0,[],[],[],521
216,1185,311,0,0,0,[],[],[],522
247,1192,314,0,0,0,[],[],[],523
276,1150,343,0,0,0,[],[],[],524
232,1224,299,0,0,0,[],[],[],525
219,1167,336,0,0,0,[],[],[],526
232,1171,320,0,0,0,[],[],[],527
256,1170,296,0,0,0,[],[],[],528
250,1178,323,0,0,0,[],[],[],529
228,1133,326,0,0,0,[],[],[],530
224,1186,294,0,0,0,[],[],[],531
223,1152,346,0,0,0,[],[],[],532
225,1149,317,0,0,0,[],[],[],533
219,1135,339,0,0,0,[],[],[],534
250,1160,341,0,0,0,[],[],[],535
242,1182,312,0,0,0,[],[],[],536
217,1144,340,0,0,0,[],[],[],537
219,1189,308,0,0,0,[],[],[],538
258,1138,315,0,0,0,[],[],[],539
216,1207,335,0,0,0,[],[],[],540
241,1196,338,0,0,0,[],[],[],541
230,1162,307,0,0,0,[],[],[],542
247,1174,359,0,0,0,[],[],[],543
236,1165,338,0,0,0,[],[],[],544
242,1212,301,0,0,0,[],[],[],545
249,1144,333,0,0,0,[],[],[],546
251,1164,357,0,0,0,[],[],[],547
223,1229,299,0,0,0,[],[],[],548
248,1173,314,0,0,0,[],[],[],549
229,1143,339,0,0,0,[],[],[],550
230,1151,355,0,0,0,[],[],[],551
237,1233,276,0,0,0,[],[],[],552
237,1186,309,0,0,0,[],[],[],553
257,1173,293,0,0,0,[],[],[],554
257,1179,311,0,0,0,[],[],[],555
242,1170,318,0,0,0,[],[],[],556
211,1197,331,0,0,0,[],[],[],557
229,1172,320,0,0,0,[],[],[],558
239,1204,288,0,0,0,[],[],[],559
262,1203,318,0,0,0,[],[],[],560
242,1176,306,0,0,0,[],[],[],561
233,1188,298,0,0,0,[],[],[],562
235,1172,315,0,0,0,[],[],[],563
231,1191,322,0,0,0,[],[],[],564
216,1216,322,0,0,0,[],[],[],565
231,1226,298,0,0,0,[],[],[],566
228,1202,308,0,0,0,[],[],[],567
232,1253,264,0,0,0,[],[],[],568
211,1231,271,0,0,0,[],[],[],569
242,1168,317,0,0,0,[],[],[],570
231,1235,277,0,0,0,[],[],[],571
250,1178,290,0,0,0,[],[],[],572
251,1174,293,0,0,0,[],[],[],573
215,1201,295,0,0,0,[],[],[],574
248,1219,284,0,0,0,[],[],[],575
219,1202,276,0,0,0,[],[],[],576
231,1236,275,0,0,0,[],[],[],577
184,1268,268,0,0,0,[],[],[],578
252,1223,279,0,0,0,[],[],[],579
219,1206,286,0,0,0,[],[],[],580
199,1231,300,0,0,0,[],[],[],581
207,1247,286,0,0,0,[],[],[],582
224,1279,299,0,0,0,[],[],[],583
222,1226,312,0,0,0,[],[],[],584
222,1262,290,0,0,0,[],[],[],585
198,1259,286,0,0,0,[],[],[],586
229,1224,309,0,0,0,[],[],[],587
205,1266,274,0,0,0,[],[],[],588
184,1259,273,0,0,0,[],[],[],589
191,1246,288,0,0,0,[],[],[],590
204,1202,354,0,0,0,[],[],[],591
210,1250,276,0,0,0,[],[],[],592
232,1265,299,0,0,0,[],[],[],593
200,1280,269,0,0,0,[],[],[],594
206,1242,286,0,0,0,[],[],[],595
203,1261,317,0,0,0,[],[],[],596
208,1246,301,0,0,0,[],[],[],597
185,1290,295,0,0,0,[],[],[],598
195,1270,267,0,0,0,[],[],[],599
216,1321,302,0,0,0,[],[],[],600
224,1281,284,0,0,0,[],[],[],601
205,1258,305,0,0,0,[],[],[],602
179,1293,306,0,0,0,[],[],[],603
200,1310,276,0,0,0,[],[],[],604
229,1249,276,0,0,0,[],[],[],605
229,1228,297,0,0,0,[],[],[],606
199,1229,296,0,0,0,[],[],[],607
194,1282,269,0,0,0,[],[],[],608
166,1289,306,0,0,0,[],[],[],609
202,1276,278,0,0,0,[],[],[],610
216,1251,250,0,0,0,[],[],[],611
197,1306,268,0,0,0,[],[],[],612
180,1213,318,0,0,0,[],[],[],613
201,1275,283,0,0,0,[],[],[],614
192,1304,288,0,0,0,[],[],[],615
214,1241,291,0,0,0,[],[],[],616
210,1298,261,0,0,0,[],[],[],617
191,1322,235,0,0,0,[],[],[],618
188,1308,255,0,0,0,[],[],[],619
201,1302,300,0,0,0,[],[],[],620
182,1333,235,0,0,0,[],[],[],621
188,1343,246,0,0,0,[],[],[],622
176,1283,290,0,0,0,[],[],[],623
191,1291,268,0,0,0,[],[],[],624
183,1336,269,0,0,0,[],[],[],625
178,1299,252,0,0,0,[],[],[],626
187,1297,290,0,0,0,[],[],[],627
191,1272,278,0,0,0,[],[],[],628
177,1297,260,0,0,0,[],[],[],629
185,1238,291,0,0,0,[],[],[],630
181,1302,273,0,0,0,[],[],[],631
182,1279,292,0,0,0,[],[],[],632
194,1299,243,0,0,0,[],[],[],633
168,1305,252,0,0,0,[],[],[],634
193,1256,251,0,0,0,[],[],[],635
187,1306,268,0,0,0,[],[],[],636
180,1259,268,0,0,0,[],[],[],637
193,1306,256,0,0,0,[],[],[],638
195,1313,243,0,0,0,[],[],[],639
201,1272,269,0,0,0,[],[],[],640
162,1312,271,0,0,0,[],[],[],641
167,1343,238,0,0,0,[],[],[],642
180,1334,256,0,0,0,[],[],[],643
183,1351,244,0,0,0,[],[],[],644
190,1311,265,0,0,0,[],[],[],645
175,1286,279,0,0,0,[],[],[],646
158,1319,244,0,0,0,[],[],[],647
174,1322,249,0,0,0,[],[],[],648
174,1311,241,0,0,0,[],[],[],649
184,1352,257,0,0,0,[],[],[],650
219,1313,244,0,0,0,[],[],[],651
175,1342,249,0,0,0,[],[],[],652
176,1316,245,0,0,0,[],[],[],653
183,1347,289,0,0,0,[],[],[],654
197,1354,233,0,0,0,[],[],[],655
171,1344,233,0,0,0,[],[],[],656
180,1393,206,0,0,0,[],[],[],657
156,1341,243,0,0,0,[],[],[],658
177,1348,239,0,0,0,[],[],[],659
160,1333,244,0,0,0,[],[],[],660
180,1368,253,0,0,0,[],[],[],661
172,1351,243,0,0,0,[],[],[],662
173,1350,249,0,0,0,[],[],[],663
178,1379,254,0,0,0,[],[],[],664
165,1380,250,0,0,0,[],[],[],665
174,1359,227,0,0,0,[],[],[],666
173,1321,247,0,0,0,[],[],[],667
171,1375,207,0,0,0,[],[],[],668
